Neighborhood,Year,Seller Investor Type,Sale Count,Total Price Volume
East Boston,2004,Small,51,"18,740,750"
East Boston,2005,Small,247,"78,023,990"
East Boston,2006,Small,92,"32,721,525"
East Boston,2007,Small,108,"32,608,519"
East Boston,2008,Small,61,"17,509,704"
East Boston,2009,Small,49,"14,992,743"
East Boston,2010,Small,34,"8,864,843"
East Boston,2011,Small,39,"11,361,350"
East Boston,2012,Small,38,"11,642,200"
East Boston,2013,Small,53,"21,041,050"
East Boston,2014,Small,73,"34,255,411"
East Boston,2015,Small,62,"33,247,380"
East Boston,2016,Small,66,"40,996,481"
East Boston,2017,Small,124,"77,954,500"
East Boston,2018,Small,54,"40,853,476"
East Boston,2019,Small,39,"36,280,600"
East Boston,2020,Small,50,"49,124,600"
East Boston,2021,Small,89,"81,225,135"
East Boston,2022,Small,69,"68,719,900"
East Boston,2000,Medium,6,"1,314,666"
East Boston,2001,Medium,11,"2,198,900"
East Boston,2002,Medium,21,"5,118,000"
East Boston,2003,Medium,31,"9,483,050"
